,Gender,Male,Animal,Friends,Family,Dead&Imaginary,Aggression/Friendliness,A/CIndex,F/CIndex,S/CIndex,NegativeEmotions
15345,1.0,0.5,0.0,0.166666667,0.25,0.0,0.833333333,0.0416666667,0.007575757545454545,0.010416666625,1
8476,1.0,0.75,0.055555556,0.117647059,0.176470588,0.0,0.5,0.022222222200000002,0.015151515181818181,0.013888888875,0
9052,1.0,0.0,0.0,0.25,0.0,0.0,0.5,0.05,0.045454545454545456,0.0,1
17206,1.0,0.333333333,0.0,0.176470588,0.235294118,0.0,0.0,0.0,0.0,0.0,0
16188,1.0,0.25,0.0,0.142857143,0.0,0.0,1.0,0.0857142857,0.012987013,0.017857142875,1
4475,1.0,1.0,0.0,0.25,0.0,0.0,1.0,0.15000000000000002,0.0,0.0,1
11744,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.25,1
6056,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
3755,1.0,0.0,0.0,0.0,0.2,0.0,0.142857143,0.04000000000000001,0.12727272727272726,0.125,1
15650,1.0,0.6,0.166666667,0.2,0.3,0.0,0.625,0.0666666667,0.022727272727272728,0.0,1
7712,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0666666667,0.06060606063636364,0.0,1
17702,1.0,1.0,0.0,0.25,0.0,0.0,0.666666667,0.05,0.022727272727272728,0.0,1
4336,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,1
4021,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.09090909090909091,0.0,1
12637,1.0,0.5,0.0,0.0,0.333333333,0.0,0.0,0.0166666667,0.045454545454545456,0.020833333375,1
6887,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166666667,0.06060606063636364,0.020833333375,1
2966,1.0,0.571428571,0.071428571,0.153846154,0.384615385,0.0,0.588235294,0.1071428571,0.045454545454545456,0.0,1
14893,1.0,0.0,0.0,0.111111111,0.111111111,0.0,1.0,0.0666666667,0.010101010090909092,0.013888888875,0
